"Femelle.ID" "Annee.capture" "JJ.capture" "Long.Fourche.mm" "Fecondite.oeufs" "Plantes.aquat.kgm2" "Crustaces.indL" "Herbicides.ugL"
"1" 1 2023 121 51 324 4.66 1099 7.83
"2" 2 2023 121 51 282 5.15 1065 2.92
"3" 3 2023 121 46 315 4.21 703 61.96
"4" 4 2023 123 48 266 4.66 1010 12.64
"5" 5 2023 123 54 364 4.77 1165 1.33
"6" 6 2023 123 51 282 4.71 807 12.87
"7" 7 2023 124 57 375 4.09 981 1.68
"8" 8 2023 125 52 306 4.08 838 36.09
"9" 9 2023 126 46 269 3.72 481 63.37
"10" 10 2023 127 48 294 5.46 949 9.9
"11" 11 2023 128 50 351 4.86 1138 9.44
"12" 12 2023 129 50 299 5.24 1402 0.79
"13" 13 2023 130 50 307 5.05 1309 8.81
"14" 14 2023 131 50 277 4.67 1040 7.24
"15" 15 2023 132 48 305 3.76 777 23.39
"16" 16 2023 133 47 321 4.33 647 9.87
"17" 17 2023 134 50 301 4.29 792 31.11
"18" 18 2023 134 48 308 4.44 703 16.84
"19" 19 2023 135 48 323 5.56 930 1.09
"20" 20 2023 136 45 245 4.58 853 39.57
"21" 21 2023 136 52 358 4.95 1330 2.4
"22" 22 2023 138 53 340 5 919 2.01
"23" 23 2023 139 54 372 4.69 851 7.76
"24" 24 2023 144 47 297 4.75 1210 20.23
"25" 25 2023 145 45 283 5.01 1213 7.47
"26" 26 2023 145 47 294 4.62 1000 7.5
"27" 27 2023 146 48 273 5.25 1123 1.85
"28" 28 2023 147 49 259 5.29 1054 19.88
"29" 29 2023 148 44 277 4.6 746 4.47
"30" 30 2023 148 49 335 5.11 792 7.69
"31" 31 2023 149 47 292 4.68 977 3.06
"32" 32 2023 149 51 323 3.52 246 58.43
"33" 33 2023 150 49 269 4.82 1258 5.51
"34" 34 2023 151 48 282 4.08 575 35.79
"35" 35 2023 151 50 323 5 1071 8.36
"36" 36 2023 157 47 289 4.17 933 11.84
"37" 37 2023 160 45 306 5.12 950 6.44
"38" 38 2023 161 53 353 4.88 1150 4.14
"39" 39 2023 162 45 289 4.68 860 4.73
"40" 40 2023 163 53 376 5.52 1092 4.72
"41" 41 2023 164 49 247 4.66 879 5.77
"42" 42 2023 165 49 270 4.83 900 7.29
"43" 43 2023 166 55 313 4.8 1510 1.19
"44" 44 2023 168 57 350 5.09 741 11.7
"45" 45 2023 168 40 233 3.61 186 80.77
"46" 46 2023 169 47 278 4.69 1201 12.12
"47" 47 2023 169 57 352 4.78 822 15.44
"48" 48 2023 170 49 340 4.86 910 17.66
"49" 49 2023 170 44 232 4.94 1034 3.06
"50" 50 2023 171 42 258 5.38 1025 3.51
"51" 51 2023 173 56 369 5.12 1318 2.37
"52" 52 2023 175 48 301 4.63 886 13.42
"53" 53 2023 176 46 285 5.07 1193 5.71
"54" 54 2023 177 47 300 5 1040 7.68
"55" 55 2023 177 51 326 4.64 1320 1.9
"56" 56 2023 177 50 301 4.8 1064 2.81
"57" 57 2023 178 53 367 4.13 1505 10.03
"58" 58 2023 179 49 309 3.73 399 42.37
"59" 59 2023 179 42 190 4.55 972 7.59
"60" 60 2023 180 50 324 4.77 639 5.84
"61" 61 2024 120 41 209 4.23 131 55.67
"62" 62 2024 120 45 278 4.77 675 12.51
"63" 63 2024 123 50 319 4.84 813 1.88
"64" 64 2024 124 51 303 4.93 998 4.38
"65" 65 2024 126 53 338 5.23 973 2.44
"66" 66 2024 126 46 267 5.06 1069 13.35
"67" 67 2024 129 53 279 5.33 1398 2.17
"68" 68 2024 130 50 316 3.76 511 38.6
"69" 69 2024 131 42 265 4.34 1005 3.61
"70" 70 2024 131 53 361 5.01 1237 8.48
"71" 71 2024 132 50 281 4.81 1011 5.12
"72" 72 2024 134 47 284 4.91 698 3.88
"73" 73 2024 136 52 331 4.25 853 8.74
"74" 74 2024 139 49 356 4.85 1173 3.66
"75" 75 2024 139 51 350 5.29 992 5.44
"76" 76 2024 139 53 346 5.35 1157 9.7
"77" 77 2024 141 50 297 5.21 1100 2.56
"78" 78 2024 141 53 340 4.58 1345 12.16
"79" 79 2024 143 43 248 5.2 1189 5.04
"80" 80 2024 145 53 322 4.9 1215 8.83
"81" 81 2024 145 48 267 4.49 681 25.88
"82" 82 2024 145 49 301 5.19 705 24.19
"83" 83 2024 146 43 262 4.34 509 20.48
"84" 84 2024 148 53 308 5.39 1191 15.11
"85" 85 2024 150 53 347 4.69 1473 2.45
"86" 86 2024 151 48 330 4.76 1156 18.01
"87" 87 2024 151 42 307 5.56 1089 7.96
"88" 88 2024 152 50 320 4.8 1649 10.08
"89" 89 2024 155 51 335 5.2 901 2.44
"90" 90 2024 155 49 311 4.69 1253 8.5
"91" 91 2024 157 51 340 4.87 1140 2.01
"92" 92 2024 158 44 248 4.5 1059 3.15
"93" 93 2024 159 54 331 5.05 1266 12.59
"94" 94 2024 160 51 339 5.33 1351 3.25
"95" 95 2024 162 45 264 5.81 1073 3.1
"96" 96 2024 164 54 363 4.82 1633 2.07
"97" 97 2024 165 54 344 4.87 913 7.86
"98" 98 2024 165 42 261 4.79 557 16.91
"99" 99 2024 166 46 270 4.65 608 3.13
"100" 100 2024 166 46 252 4.17 720 65.26
"101" 101 2024 167 53 337 5.05 1011 6.1
"102" 102 2024 168 45 272 4.78 784 15.5
"103" 103 2024 169 48 348 4.37 1138 8.8
"104" 104 2024 169 49 287 4.42 1154 3.21
"105" 105 2024 169 49 297 4.77 930 3.65
"106" 106 2024 169 50 296 3.87 470 45.67
"107" 107 2024 170 52 301 4.65 1337 2.8
"108" 108 2024 173 56 372 5.13 1683 1.05
"109" 109 2024 173 53 320 4.57 902 3.27
"110" 110 2024 173 47 244 4.94 1157 26.57
"111" 111 2024 175 47 315 4.75 1163 3.42
"112" 112 2024 175 55 326 4.45 610 26.39
"113" 113 2024 175 42 256 5.66 675 4.34
"114" 114 2024 176 45 293 3.84 723 47.73
"115" 115 2024 176 49 310 5.09 1145 1.41
"116" 116 2024 177 55 328 4.56 1343 9.6
"117" 117 2024 177 52 291 4.69 1103 2.56
"118" 118 2024 179 50 300 4.71 795 11.33
"119" 119 2024 179 56 374 5.09 1456 5.79
"120" 120 2024 180 51 339 4.96 1107 2.07
